ModuleDisplayName,AlternativeNames,ModuleName,ModuleStatus,RepoURL,PublicRegistryReference,TelemetryIdPrefix,PrimaryModuleOwnerGHHandle,PrimaryModuleOwnerDisplayName,SecondaryModuleOwnerGHHandle,SecondaryModuleOwnerDisplayName,ModuleOwnersGHTeam,ModuleContributorsGHTeam,Description,Comments,FirstPublishedIn
Container Registry Landing Zone,,avm/ptn/lz/container-registry,Proposed :new:,https://github.com/InnofactorOrg/Azure-Verified-Solutions/tree/main/avm/ptn/lz/container-registry,br/public:avm/ptn/lz/container-registry:X.Y.Z,46d3xbcp.ptn.lz-containerregistry,damianflynn,Damian Flynn,,,@InnofactorOrg/avm-ptn-lz-containerregistry-module-owners-bicep,@InnofactorOrg/avm-ptn-lz-containerregistry-module-contributors-bicep,AVM Pattern Module for Container Registry Landing Zone,,
Azure Kubernettes Landing Zone,,avm/ptn/lz/aks,Proposed :new:,https://github.com/InnofactorOrg/Azure-Verified-Solutions/tree/main/avm/ptn/lz/aks,br/innofactor:avm/ptn/lz/aks:X.Y.Z,46d3xbcp.ptn.lz-aks,ottolote,Otto Lote,klaudiajanusz,Klaudia Janusz,@InnofactorOrg/avm-ptn-lz-aks-module-owners-bicep,@InnofactorOrg/avm-ptn-lz-aks-module-contributors-bicep,AKS Landing Zone,,
Azure Cortex Service,,avm/ptn/management/cortex,Available :green_circle:,https://github.com/InnofactorOrg/Azure-Verified-Solutions/tree/main/avm/ptn/management/cortex,br/public:avm/ptn/management/cortex:X.Y.Z,46d3xbcp.ptn.management-cortex,damianflynn,Damian Flynn,,,@InnofactorOrg/avm-ptn-management-cortex-module-owners-bicep,@InnofactorOrg/avm-ptn-management-cortex-module-contributors-bicep,Azure Cortex Custom Provider Services,,
Azure Virtual Desktop Landing Zone,,avm/ptn/lz/avd,Proposed :new:,https://github.com/InnofactorOrg/Azure-Verified-Solutions/tree/main/avm/ptn/lz/avd,br/public:avm/ptn/lz/avd:X.Y.Z,46d3xbcp.ptn.lz-avd,sshjelle,Simen Hjelle,,,@InnofactorOrg/avm-ptn-lz-avd-module-owners-bicep,@InnofactorOrg/avm-ptn-lz-avd-module-contributors-bicep,AVM Pattern Module for Azure Virtual Desktop Landing Zone,,
Azure Hub Landing Zone,,avm/ptn/lz/hub,Proposed :new:,https://github.com/InnofactorOrg/Azure-Verified-Solutions/tree/main/avm/ptn/lz/hub,br/public:avm/ptn/lz/hub:X.Y.Z,46d3xbcp.ptn.lz-hub,aidanfinninnofactor,Aidan Finn,,,@InnofactorOrg/avm-ptn-lz-hub-module-owners-bicep,@InnofactorOrg/avm-ptn-lz-hub-module-contributors-bicep,AVM Pattern Module for Azure Hub Landing Zone,,
Partner Attribuation,,avm/ptn/management/partner,Available :green_circle:,https://github.com/InnofactorOrg/Azure-Verified-Solutions/tree/main/avm/ptn/management/partner,br/public:avm/ptn/management/partner:X.Y.Z,46d3xbcp.ptn.partner,damianflynn,Damian Flynn,,,@InnofactorOrg/avm-ptn-management-partner-module-owners-bicep,@InnofactorOrg/avm-ptn-management-partner-module-contributors-bicep,Register Deployment with the Partner ID for Telemetary,,
Register Resource Providers,,avm/ptn/management/register-providers,Available :green_circle:,https://github.com/InnofactorOrg/Azure-Verified-Solutions/tree/main/avm/ptn/management/register-providers,br/public:avm/ptn/management/register-providers:X.Y.Z,46d3xbcp.ptn.management-registerproviders,damianflynn,Damian Flynn,aidanfinninnofactor,Aidan Finn,@InnofactorOrg/avm-ptn-management-registerproviders-module-owners-bicep,@InnofactorOrg/avm-ptn-management-registerproviders-module-contributors-bicep,Register Resoirce Providers for an Azure Subscription,,
Azure Subscription Configuration,,avm/ptn/lz/subscription-configuration,Available :green_circle:,https://github.com/InnofactorOrg/Azure-Verified-Solutions/tree/main/avm/ptn/lz/subscription-configuration,br/innofactor:avm/ptn/lz/subscription-configuration:X.Y.Z,46d3xbcp.ptn.lz-subscriptionconfiguration,aidanfinninnofactor,Aidan Finn,,,@InnofactorOrg/avm-ptn-lz-subscriptionconfiguration-module-owners-bicep,@InnofactorOrg/avm-ptn-lz-subscriptionconfiguration-module-contributors-bicep,Azure Subscription Configuration Pattern,,
Azure Subscription Placement,,avm/ptn/management/subscription-placement,Available :green_circle:,https://github.com/InnofactorOrg/Azure-Verified-Solutions/tree/main/avm/ptn/management/subscription-placement,br/innofactor:avm/ptn/management/subscription-placement:X.Y.Z,46d3xbcp.ptn.management-subscriptionplacement,damianflynn,Damian Flynn,,,@InnofactorOrg/avm-ptn-management-subscriptionplacement-module-owners-bicep,@InnofactorOrg/avm-ptn-management-subscriptionplacement-module-contributors-bicep,Azure Subscription Management Group Placement,,
Workload Network Configuration,,avm/ptn/network/workload-networking,Available :green_circle:,https://github.com/InnofactorOrg/Azure-Verified-Solutions/tree/main/avm/ptn/network/workload-networking,br/innofactor:avm/ptn/network/workload-networking:X.Y.Z,46d3xbcp.ptn.network-workloadnetworking,aidanfinninnofactor,Aidan Finn,,,@InnofactorOrg/avm-ptn-network-workloadnetworking-module-owners-bicep,@InnofactorOrg/avm-ptn-network-workloadnetworking-module-contributors-bicep,Networking Configuration for Workloads,,
